event_id,vehicles,seed,frame,task_class,scheme,access,compute,deadline_ms,dt_update_latency_ms,tx_ms,path_ms,queue_ms,service_ms,deadline_met,dt_age_ms,position_error_m,rounds,rejections,verifier_accepted,fallback,proposal_conflict,decision_wall_ms,tool_calls,api_calls,input_tokens,output_tokens,sum_api_latency_ms
n50_s2028_e5,50,2028,148,cooperative,One-Shot LLM,ground,ground1,350.0,3339.59,3183.785,3.628,128.222,23.956,False,10961.277,2.596162,1,0,False,False,False,944.328,0,1,575,21,944.16
n50_s2028_e5,50,2028,148,cooperative,Single Domain,leo,sat0,350.0,244.421,79.136,23.831,140.255,1.198,True,244.421,0.057891,1,0,False,False,False,996.471,1,1,267,19,996.331
n50_s2028_e6,50,2028,178,cooperative,AAI-CDOS,leo,sat0,350.0,461.799,61.686,24.524,374.455,1.134,False,11148.779,75.709115,3,3,False,True,False,6724.362,14,12,8635,276,12178.446
n50_s2028_e6,50,2028,178,cooperative,Independent Agents,ground,ground1,350.0,24244.299,23939.258,4.32,278.04,22.681,False,11148.779,75.709115,1,0,False,False,True,4546.502,3,3,1229,61,6476.994
n50_s2028_e6,50,2028,178,cooperative,One-Shot LLM,ground,ground1,350.0,24244.299,23939.258,4.32,278.04,22.681,False,11148.779,75.709115,1,0,False,False,False,1023.969,0,1,575,21,1023.807
n50_s2028_e6,50,2028,178,cooperative,Single Domain,leo,sat0,350.0,461.799,61.686,24.524,374.455,1.134,False,11148.779,75.709115,1,0,False,False,False,893.74,1,1,267,19,893.611
n50_s2029_e1,50,2029,44,cooperative,AAI-CDOS,uav,ground1,350.0,125.171,4.489,11.619,87.196,21.866,True,125.171,1.401015,1,0,True,False,False,2090.194,6,4,1684,91,3930.266
n50_s2029_e1,50,2029,44,cooperative,Independent Agents,uav,ground1,350.0,125.171,4.489,11.619,87.196,21.866,True,125.171,1.401015,1,0,False,False,True,1164.293,3,3,987,63,2941.65
n50_s2029_e1,50,2029,44,cooperative,One-Shot LLM,ground,ground1,350.0,23193.771,23079.089,5.619,87.196,21.866,False,10644.603,119.143027,1,0,False,False,False,1192.225,0,1,573,21,1192.068
n50_s2029_e1,50,2029,44,cooperative,Single Domain,uav,uav2,350.0,739.984,4.489,6.619,0.0,728.876,False,10644.603,119.143027,1,0,False,False,False,720.557,1,1,265,20,720.42
n50_s2029_e2,50,2029,125,cooperative,AAI-CDOS,uav,ground0,350.0,223.588,4.179,10.82,185.856,22.733,True,223.588,3.000148,1,0,True,False,False,2566.66,6,4,1832,89,4368.714
n50_s2029_e2,50,2029,125,cooperative,Independent Agents,ground,ground0,350.0,4016.262,3802.853,4.82,185.856,22.733,False,10771.267,144.530976,1,0,False,False,True,911.908,3,3,1040,61,2478.888
